,Flight_miles_12mo,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans
94,2950,185549,0,5,1,1,110859,39
95,0,16796,0,1,1,1,2875,16
96,0,57346,0,1,1,1,5560,23
97,0,102062,0,4,1,1,44247,16
98,0,22324,0,1,1,1,1375,4
99,0,64824,0,3,1,1,20184,13
100,0,25076,1182,5,1,1,57203,14
101,0,8053,0,1,1,1,0,0
102,0,35119,0,1,1,1,0,0
103,2050,28667,0,1,1,1,3861,7
104,0,34327,0,1,1,1,0,0
105,150,3734,0,5,1,1,61096,18
106,2300,96627,1182,1,1,3,49059,26
107,0,43498,0,1,1,1,0,0
108,50,84674,0,4,1,1,46335,14
109,550,15098,0,4,1,1,32917,26
110,0,181019,0,3,1,1,18415,15
111,2550,298911,0,1,1,1,8550,11
112,4833,124198,0,5,1,1,66330,23
113,0,56906,0,1,1,1,2015,13
114,818,295638,0,1,1,1,5422,20
115,0,67018,0,3,1,1,23260,25
116,0,143967,0,2,1,1,7346,11
117,1000,969559,0,1,1,1,2500,3
118,0,122705,0,3,1,1,24222,15
119,0,16583,0,1,1,1,2625,7
120,0,77540,0,1,1,1,1000,1
121,2250,205126,0,5,1,1,126630,45
122,1050,81974,0,4,1,1,37266,18
123,0,47258,0,3,1,1,24768,19
124,0,77699,0,4,1,1,42775,13
125,1500,133954,500,4,1,1,37670,18
126,2250,602064,0,5,1,1,194753,26
127,5200,213150,0,4,1,1,56308,41
128,0,48333,0,2,1,1,10123,14
129,0,142175,0,4,1,1,37461,22
130,0,17469,0,1,1,1,0,0
131,335,19823,0,1,1,1,1095,3
132,0,145074,0,1,1,1,8000,4
133,1850,101101,0,1,1,1,10850,11
134,0,125948,0,3,1,1,15155,15
135,7172,259484,1776,1,1,1,19172,26
136,0,129298,0,4,1,1,29099,15
137,700,103302,0,4,1,1,53552,22
138,0,160447,0,1,1,1,8578,25
139,0,15472,0,1,1,1,3500,14
140,0,39628,0,1,1,1,0,0
141,0,6112,0,1,1,1,0,0
142,450,31769,0,1,1,1,450,2
143,0,126787,0,4,1,1,35021,17
144,0,41547,0,3,1,1,16857,17
145,1600,100640,0,1,1,1,7600,8
146,0,18707,0,1,1,1,100,1
147,1500,50593,0,5,1,1,58208,17
148,0,84631,0,3,1,1,20415,17
149,0,24868,0,1,1,1,205,5
150,1718,77097,0,4,1,1,42403,22
151,2250,930410,0,5,1,1,211284,18
152,500,298121,0,5,1,1,60808,20
153,0,87474,0,1,1,1,4581,15
154,0,48707,0,4,1,1,37655,14
155,500,220081,0,4,1,1,52574,21
156,0,212976,0,3,1,1,19926,12
157,0,44182,0,3,1,1,12313,12
158,0,228829,0,5,1,1,59852,21
159,0,46823,0,1,1,1,5860,12
160,0,69110,0,3,1,1,18500,19
161,1500,120700,0,5,1,1,55323,17
162,3604,152945,0,1,1,1,18604,6
163,0,10302,0,4,1,1,30298,19
164,0,80331,0,3,1,1,15489,18
165,0,69882,0,1,1,1,180,6
166,0,95658,0,1,1,1,5269,18
167,0,402874,0,5,1,1,74800,15
168,0,370941,0,4,1,1,44615,16
169,700,21694,0,4,1,1,45230,20
170,0,71767,0,5,1,1,67335,13
171,0,35820,0,1,1,1,0,0
172,1000,352508,0,3,1,1,23740,6
173,3250,149285,0,1,1,1,15656,13
174,0,120941,0,4,1,1,42301,21
175,900,451673,0,4,1,1,43533,19
176,200,106961,0,1,1,1,7357,19
177,0,28086,1745,2,1,1,7368,12
178,0,60230,0,1,1,1,500,1
179,750,6663,0,1,1,1,1125,7
180,0,48145,0,1,1,1,10735,27
181,1500,127807,0,3,1,1,17086,16
182,50,32948,0,1,1,1,50,1
183,0,8933,0,2,1,1,8860,14
184,0,49885,0,3,1,1,23640,17
185,0,89999,0,3,1,1,11694,13
186,3450,707079,0,4,1,1,57173,40
187,0,211595,0,1,1,1,3250,8
188,0,410795,0,5,1,1,73679,31
189,232,72173,0,1,1,1,2954,13
190,500,123516,0,5,1,1,240544,31
191,3928,143080,733,4,1,1,44373,38
192,0,386061,0,5,1,1,107813,24
193,0,52738,2398,1,1,1,0,0
194,0,24523,0,1,1,1,100,1
195,0,134601,0,1,1,1,0,0
196,0,32742,0,5,1,1,61857,26
197,0,108341,0,3,1,1,19670,21
198,0,8669,0,1,3,1,11397,16
199,150,118940,0,4,1,1,36001,17
200,0,41385,0,4,1,1,26948,14
201,1400,28621,0,2,1,1,13878,20
202,0,16230,0,1,1,1,486,2
203,500,152881,0,5,1,1,79687,18
204,0,37348,0,1,1,1,0,0
205,0,51468,0,1,1,1,2278,9
206,1329,95989,0,5,1,1,92159,30
207,1150,23184,1250,1,1,1,3694,12
208,0,27381,0,3,1,1,18009,18
209,0,6854,0,1,1,1,0,0
210,600,201346,0,5,1,1,99612,34
211,0,31588,0,1,1,1,2947,8
212,0,204582,0,1,1,1,4671,14
213,0,8298,0,3,1,1,20087,15
214,2700,10097,0,1,1,1,2700,1
215,0,114356,0,4,1,1,27308,14
216,0,1344,0,1,1,1,1134,9
217,0,59797,0,1,1,1,7069,4
218,0,189053,0,3,1,1,24156,22
219,0,143481,0,4,1,1,45891,15
220,3050,1302051,2706,5,1,1,90653,32
221,550,229744,0,5,1,1,68754,35
222,250,75039,0,1,1,1,2750,10
223,0,20203,0,1,1,1,750,6
224,0,193976,0,3,1,1,10849,14
225,0,98224,0,2,1,1,5570,11
226,0,117329,0,1,2,1,6448,11
227,250,119239,0,4,1,1,36362,15
228,300,53715,0,2,1,1,7164,15
229,0,153747,0,5,1,1,58689,15
230,0,133309,0,3,1,1,23987,13
231,0,81380,0,5,1,1,56524,22
232,0,22074,0,1,1,1,6039,15
233,0,24051,0,2,1,1,8764,13
234,0,11449,0,2,1,1,9057,13
235,273,182317,0,2,1,1,19489,17
236,500,46184,0,1,1,1,3125,12
237,500,285116,0,1,1,1,8471,18
238,6400,30962,0,5,1,1,97683,37
239,0,15525,0,1,1,1,3853,6
240,0,163530,0,5,1,1,88987,25
241,0,2075,0,2,1,1,5002,14
242,0,227881,0,4,1,1,41186,13
243,2250,118934,0,5,1,1,66222,37
244,0,468175,0,5,1,1,141615,22
245,3850,12526,0,4,1,1,56076,19
246,2200,176090,0,1,1,1,5300,9
247,0,15221,0,1,1,1,4425,9
248,0,92875,0,5,1,1,60990,14
249,50,88702,0,2,1,1,9620,13
250,0,62882,0,1,1,1,1925,8
251,0,30015,0,1,1,1,5875,32
252,1050,87293,0,3,1,1,21584,17
253,0,45225,0,3,1,1,14711,15
254,0,96098,0,1,1,1,12500,4
255,0,236274,0,5,1,1,61515,12
256,2100,423540,0,1,1,1,8534,14
257,0,25279,0,2,1,1,14938,26
258,500,198137,0,1,1,1,6303,6
259,250,402312,0,5,1,1,77122,18
260,500,149733,0,1,1,1,605,3
261,0,70730,0,1,1,1,1319,12
262,0,164613,0,2,1,1,11095,13
263,200,47557,0,2,1,1,10267,18
264,1400,35065,0,1,1,1,5400,5
265,0,105769,0,3,1,1,23097,16
266,0,35900,0,1,1,1,0,0
267,0,43088,0,1,1,1,4000,1
268,950,58703,0,4,1,1,46473,34
269,0,70354,0,5,1,1,120907,22
270,0,145726,0,3,1,1,19019,15
271,0,121639,0,5,1,1,67286,7
272,0,70676,0,5,1,1,74993,15
273,1000,18263,0,1,1,1,2100,4
274,0,51250,0,1,1,1,0,0
275,4823,1704838,0,1,1,1,17108,32
276,0,12895,0,1,1,1,0,0
277,0,120073,0,3,1,1,12423,29
278,0,2003,0,1,1,1,980,2
279,0,22652,0,5,1,1,57642,14
280,0,168515,0,1,1,1,4600,4
281,850,44873,0,4,1,1,38740,18
282,0,190542,1745,1,1,1,8487,9
283,1300,156230,0,1,1,1,5300,8
284,0,79211,0,4,1,1,36776,14
285,2309,98006,0,4,1,1,46349,20
286,0,33982,0,5,1,1,68320,17
287,0,62998,0,2,1,1,11326,24
288,0,137908,0,5,1,1,57713,19
289,0,45586,0,4,1,1,37459,15
290,1000,568174,0,5,1,1,67121,16
291,500,145993,0,5,1,1,95082,17
292,0,294881,0,5,1,1,84800,20
293,0,12195,0,1,1,1,3875,17
294,0,16622,0,1,1,1,0,0
295,0,141813,0,4,1,1,39743,14
296,150,58139,500,4,1,1,38408,16
297,0,238868,0,3,1,1,20521,16
298,2400,149286,0,4,1,1,42141,30
299,0,35945,0,1,1,1,0,0
300,750,28218,0,1,1,1,750,4
301,0,7061,0,1,1,1,7100,12
302,0,217846,0,4,1,1,49198,20
303,0,364387,0,4,1,1,28200,27
304,0,125465,0,3,1,1,14750,9
305,0,94222,0,4,1,1,52081,24
306,0,123370,0,1,1,1,7478,16
307,3226,383030,2998,1,1,1,8001,25
308,0,112969,0,2,1,1,7572,7
309,500,46430,0,1,1,1,2100,4
310,0,179433,0,4,1,1,30476,15
311,0,20746,0,4,1,1,37534,17
312,0,61455,0,4,1,1,28765,17
313,1750,714717,0,5,1,1,119162,20
314,1000,179559,0,3,1,1,17819,12
315,1400,119977,2556,1,1,1,9275,16
316,0,16928,0,1,1,1,1000,1
317,0,65316,0,1,1,1,3917,10
318,398,766419,0,1,1,1,11398,3
319,0,52060,0,1,1,1,6500,3
320,0,84700,0,3,1,1,13544,17
321,1000,205523,0,3,1,1,32404,20
322,0,20457,0,4,1,1,51399,16
323,9166,278727,0,1,1,1,21666,19
324,0,50325,0,3,1,1,11930,14
325,258,455228,0,1,1,1,258,2
326,0,73849,0,2,1,1,11793,21
327,6078,388455,0,5,1,1,114329,26
328,600,138999,0,5,1,1,63738,29
329,0,65573,0,1,1,1,3875,23
330,0,172288,0,5,1,1,66879,10
331,0,47958,0,1,1,1,0,0
332,150,133002,0,3,1,1,15672,21
333,0,42363,0,1,1,1,0,0
334,0,133370,0,4,1,1,44299,18
335,1000,278457,6727,4,1,1,57313,27
336,0,105166,1374,4,1,1,37663,22
337,0,34956,0,1,1,1,0,0
338,0,46963,0,1,1,1,1500,5
339,0,55788,0,3,1,1,24831,12
340,200,174910,0,4,1,1,63960,20
341,0,13812,0,2,1,1,15149,39
342,0,38718,0,1,1,1,0,0
343,0,112501,0,1,1,2,19140,11
344,0,54005,0,1,1,1,1500,5
345,0,66863,0,4,1,1,36532,9
346,0,93045,0,3,1,1,17636,15
347,0,197328,0,5,1,1,60447,12
348,0,151301,0,4,1,1,37772,14
349,0,87938,0,1,1,1,11268,2
350,0,15283,0,1,1,1,1250,3
351,0,105423,0,3,1,1,20802,14
352,100,312512,0,1,1,1,100,1
353,0,13680,0,1,1,1,0,0
354,1650,41279,0,3,1,1,14462,20
355,0,25313,0,2,1,1,7491,13
356,1000,148691,0,1,1,1,3000,3
357,150,224081,0,4,1,1,40108,15
358,0,51088,0,1,1,1,0,0
359,0,95305,0,1,1,1,3189,13
360,1950,22080,0,1,1,1,12200,47
361,0,11660,0,1,1,1,140,1
362,500,222227,0,4,1,1,38127,14
363,0,16200,0,1,1,1,160,1
364,0,38227,0,2,1,1,8612,13
365,500,80214,0,1,1,1,500,1
366,0,53985,0,1,1,1,1000,1
367,0,14414,0,1,1,1,0,0
368,0,44457,0,1,1,1,225,3
369,0,161813,0,5,1,1,126941,20
370,0,138020,0,1,1,1,6568,15
371,2211,107707,0,3,1,1,19407,25
372,0,95656,0,5,1,1,62666,27
373,0,149678,0,1,1,1,0,0
374,0,15113,0,2,1,1,10574,19
375,5300,231,0,1,1,1,29900,24
376,200,22380,0,1,1,1,300,2
377,350,146263,0,3,1,1,20853,21
378,0,24598,0,1,1,1,0,0
379,0,76150,0,4,1,1,36907,17
380,6393,377252,0,5,1,1,230629,30
381,0,167670,0,1,3,1,15907,13
382,500,86853,0,4,1,1,42293,21
383,1600,479989,0,4,1,1,66516,26
384,0,28193,0,5,1,4,103456,32
385,0,67086,0,3,1,1,18157,16
386,0,35969,0,2,1,1,11665,21
387,0,53790,0,4,1,1,28717,19
388,500,198859,0,3,1,1,17855,14
389,0,91939,0,1,1,1,1244,8
390,1450,88449,0,2,1,1,11402,18
391,0,54842,0,3,1,1,20792,15
392,0,11189,0,1,2,1,9044,20
393,0,16999,0,1,1,1,140,1
394,0,114713,0,1,1,1,7142,18
395,0,1612,0,1,1,1,955,9
396,0,97763,0,1,1,1,2000,9
397,0,15129,0,1,1,1,0,0
398,0,15669,0,1,1,1,1205,4
399,0,26720,0,1,1,1,913,3
400,0,205292,0,2,1,1,5471,13
401,359,56635,0,1,1,1,1024,8
402,0,127297,0,2,1,1,8510,12
403,0,8927,0,1,1,1,0,0
404,4485,507506,1952,5,1,1,102279,32
405,0,145723,0,5,1,1,59858,16
406,0,6458,0,1,1,1,0,0
407,0,267640,0,1,1,1,6000,3
408,0,5581,0,1,1,1,0,0
409,0,10732,0,1,1,1,1296,6
410,1750,620498,0,5,1,1,25395,53
411,0,68963,0,4,1,1,37723,15
412,5500,109640,0,4,1,1,66983,38
413,200,225802,0,5,1,1,74340,16
414,0,58452,0,1,1,1,0,0
415,0,109087,0,2,1,1,10462,16
416,0,68286,0,3,1,1,22831,13
417,0,68464,0,1,1,1,240,3
418,0,131960,2000,3,1,1,16081,8
419,0,199956,1178,1,1,1,0,0
420,7741,529886,7210,1,1,1,23866,26
421,0,23529,0,1,1,1,500,1
422,0,190295,0,4,1,1,3501,15
423,1000,21083,0,5,1,1,129330,16
424,0,117860,0,5,1,1,62758,15
425,400,118844,0,4,1,1,28731,17
426,0,60493,0,1,1,1,9000,1
427,700,491987,0,5,1,1,68007,23
428,500,87692,0,1,1,1,2310,6
429,0,78028,0,4,1,1,36269,24
430,0,251286,0,1,1,1,0,0
431,0,17575,0,1,1,1,0,0
432,0,50431,0,1,1,1,1000,1
433,0,153597,0,5,1,1,56567,18
434,600,74579,0,1,1,1,4600,11
435,0,2494,0,1,1,1,0,0
436,0,96031,0,4,1,1,46588,21
437,1450,353678,0,4,1,1,141230,28
438,0,50052,0,4,1,1,49383,13
439,0,13381,0,1,1,1,1000,8
440,0,25123,0,1,1,1,2030,6
441,350,132555,0,3,1,1,24775,31
442,3000,14528,0,1,1,1,6000,7
443,0,24038,0,2,1,1,6290,14
444,1750,192104,0,3,1,1,39010,53
445,1400,106773,0,1,1,1,12900,10
446,0,229397,0,3,1,1,22873,13
447,0,14732,0,1,1,1,100,1
448,500,383129,0,3,1,1,23608,16
449,759,11431,0,1,1,1,1759,4
450,0,175461,0,4,1,1,40997,14
451,0,52953,0,1,1,1,500,1
452,0,182291,0,3,1,1,24155,22
453,0,198317,0,5,1,1,61714,16
454,950,49053,0,1,1,1,6498,18
455,0,22772,0,1,1,1,0,0
456,150,34170,0,3,1,1,15476,20
457,0,158483,0,2,1,1,9018,11
458,0,43285,0,4,1,1,28613,14
459,0,52980,0,3,1,1,17078,14
460,0,74342,0,1,1,1,4389,12
461,0,139849,0,3,1,1,19946,15
462,0,26080,0,2,1,1,9872,13
463,0,29469,0,1,1,1,2522,4
464,0,189252,0,1,1,1,2991,15
465,3000,382546,0,5,1,1,136619,34
466,2600,1113394,2015,5,1,1,60883,26
467,0,459681,0,5,1,1,95531,17
468,0,83590,0,1,1,1,3708,22
469,600,82528,0,1,1,1,2100,5
470,0,5600,0,1,1,1,125,1
471,2500,743745,2066,1,1,1,4100,20
472,250,43954,0,5,1,1,63463,13
473,100,52005,0,3,1,1,11870,15
474,600,45494,0,1,1,1,5021,16
475,6381,171509,0,3,1,1,40090,55
476,0,235947,0,1,1,1,3982,16
477,500,153108,0,4,1,1,25802,14
478,0,260261,0,4,1,1,33047,21
479,2050,80223,0,3,1,1,21248,26
480,0,38716,0,2,1,1,8253,21
481,0,1125076,0,3,1,1,23046,14
482,0,10954,500,1,1,1,2500,1
483,1700,97099,0,1,1,1,6325,21
484,0,62396,2128,1,1,1,1250,3
485,0,40645,0,3,1,1,18348,13
486,700,82655,0,5,1,1,101101,19
487,1600,84035,0,1,1,1,4240,6
488,3300,1199220,2919,1,1,1,3800,19
489,350,86345,0,3,1,1,13415,16
490,0,2701,0,1,1,1,5000,10
491,500,46874,0,1,1,1,9689,38
492,3400,10879,0,5,1,1,78186,32
493,0,12742,0,1,1,1,0,0
494,1300,122904,0,4,1,1,37380,21
495,0,10994,0,1,1,1,1250,3
496,0,2318,0,2,1,1,8747,14
497,0,11070,0,1,1,1,0,0
498,0,21921,0,1,1,1,0,0
499,0,162521,0,5,1,1,57354,25
500,4387,207545,0,1,1,1,11137,34
501,0,86112,0,4,1,1,35528,22
502,0,18328,0,1,1,1,0,0
503,550,217557,0,5,1,1,97584,19
504,0,11504,0,1,1,1,100,1
505,50,143200,0,5,1,1,79837,28
506,0,160703,0,4,1,1,32560,12
507,0,910,0,1,1,1,5172,13
508,0,94105,0,1,1,1,100,1
509,0,18422,0,1,1,1,3297,13
510,850,889456,1024,5,1,1,98959,29
511,3000,9800,589,1,1,1,10348,34
512,350,148318,0,4,1,1,51197,22
513,0,26149,0,1,1,1,5190,6
514,0,76933,0,4,1,1,28075,17
515,0,346178,0,5,1,1,63803,16
516,0,22878,0,1,1,1,9039,32
517,2600,66741,2880,5,1,1,71921,30
518,0,134060,0,4,1,1,46606,13
519,1700,3305,0,1,1,1,31465,24
520,0,28930,0,1,1,1,8185,17
521,450,208519,0,1,1,1,4040,6
522,500,58951,0,4,1,1,47994,15
523,0,25395,0,1,1,1,2000,1
524,0,109248,0,1,1,1,6828,11
525,0,43387,0,1,1,1,4942,13
526,0,52423,0,4,1,1,26926,13
527,900,26858,500,4,1,1,34308,17
528,0,5410,0,4,1,1,45890,22
529,0,18177,0,3,1,1,12040,12
530,0,413509,0,1,1,1,2500,1
531,10250,98472,1776,5,1,1,124421,45
532,1000,86520,3445,5,1,1,64450,20
533,0,16648,0,1,1,1,625,4
534,3000,267404,0,5,1,1,263685,51
535,0,31478,0,3,1,1,18885,18
536,500,17445,0,1,1,1,4500,3
537,0,49052,0,4,1,1,46718,17
538,0,21689,0,1,1,1,0,0
539,0,18302,0,1,1,1,2197,10
540,0,26220,0,1,1,1,2775,11
541,0,59552,0,1,1,1,7551,22
542,0,34962,0,1,1,1,252,3
543,0,16153,0,1,1,1,180,1
544,500,28931,0,1,1,1,6500,4
545,0,202636,0,1,1,1,19000,5
546,0,153962,0,5,1,1,90992,21
547,0,63311,0,4,1,1,25048,14
548,1300,8561,0,1,1,1,2050,8
549,6568,256219,0,3,1,1,29823,33
550,0,122700,0,3,1,1,18604,13
551,350,81419,0,2,1,1,7769,12
552,0,13873,0,1,1,1,4833,20
553,0,148,0,1,1,1,190,2
554,0,178919,0,3,1,1,23387,17
555,0,19702,0,1,1,1,3000,1
556,0,18820,0,1,1,1,0,0
557,0,213849,0,1,1,1,500,1
558,500,28077,0,1,1,1,735,6
559,0,4528,0,1,1,1,290,1
560,0,40418,0,3,1,1,12678,12
561,213,380930,0,2,2,1,22485,25
562,950,176849,0,1,1,1,7700,11
563,0,71235,0,4,1,1,41004,14
564,0,76446,0,5,1,1,63811,17
565,650,148915,0,3,1,1,23522,16
566,800,65034,0,3,1,1,14331,16
567,0,35738,0,4,1,1,41264,16
568,0,313,0,1,1,1,1600,1
569,0,55703,0,1,1,1,0,0
570,0,11613,0,1,1,1,2000,1
571,0,65672,0,4,1,1,29089,13
572,0,84785,0,1,1,1,4570,14
573,0,30592,862,1,1,1,2602,7
574,1000,99293,0,5,1,1,81040,23
575,0,51830,0,1,1,1,0,0
576,800,20126,0,5,1,1,78999,28
577,0,3294,0,1,1,1,1330,2
578,800,11143,0,1,1,1,2800,6
579,0,8250,0,1,1,1,250,2
580,550,117670,0,5,1,1,53043,19
581,250,49454,0,2,1,1,9548,22
582,0,58421,0,1,1,1,1000,1
583,0,33443,0,1,1,1,0,0
584,0,13886,0,1,1,1,0,0
585,0,15349,0,1,1,1,250,2
586,0,78712,0,1,1,1,0,0
587,0,89742,0,4,1,1,39073,13
588,0,31311,0,1,1,1,3961,10
589,0,133445,8264,1,1,1,3375,13
590,0,136161,0,1,1,1,6032,15
591,0,9998,0,1,1,1,0,0
592,0,37904,0,3,1,1,19052,17
593,300,41243,0,4,1,1,27971,7
594,5780,54011,1604,3,1,1,38380,20
595,0,5351,0,1,1,1,100,1
596,0,23334,0,1,1,1,0,0
597,0,11255,0,1,1,1,0,0
598,0,48127,0,4,1,1,41447,28
599,0,329497,0,5,1,1,57264,12
600,0,158895,0,4,1,1,41954,15
601,0,34540,0,4,1,1,27882,13
602,1000,117623,0,5,1,1,86582,26
603,0,126409,0,4,1,1,28460,13
604,0,112843,0,3,1,1,16137,14
605,700,117240,0,1,1,1,1200,3
606,0,7216,0,3,1,1,21419,18
607,0,26412,0,1,1,1,5086,2
608,1600,427528,0,4,1,1,35098,16
609,0,1846,0,1,1,1,450,1
610,0,45830,0,2,1,1,23404,10
611,3350,179042,0,1,1,1,25078,50
612,0,41487,500,1,1,1,10885,7
613,0,39601,0,1,1,1,3733,9
614,0,46142,0,3,1,1,14445,13
615,1500,110277,0,4,1,1,37110,18
616,0,122928,0,3,1,1,12211,14
617,1000,146599,0,3,1,1,16463,16
618,0,338656,0,4,1,1,52908,16
619,450,54125,0,4,1,1,48874,17
620,0,29861,0,4,1,1,28190,15
621,0,126148,0,2,1,1,6273,8
622,10650,62080,2975,2,1,1,19113,32
623,0,175131,0,5,1,1,53495,15
624,1373,365918,0,5,1,1,83752,23
625,500,105547,0,3,1,1,24973,26
626,0,67615,0,3,1,1,14168,13
627,350,33554,0,4,1,1,27410,16
628,450,163083,0,1,1,1,3825,9
629,50,747983,0,4,1,1,26117,15
630,3802,415070,588,5,1,1,153183,41
631,0,18111,0,1,1,1,4625,26
632,0,41526,0,1,1,1,0,0
633,0,38021,0,1,1,1,5538,9
634,0,17500,0,1,1,1,0,0
635,0,5906,0,1,1,1,280,1
636,0,70133,0,2,1,1,7396,16
637,650,32010,0,1,1,1,12315,6
638,0,82605,0,3,1,1,23049,15
639,0,77285,0,5,1,1,63841,32
640,0,15219,0,1,1,1,0,0
641,0,54889,0,2,1,1,13150,4
642,150,8910,0,1,1,1,150,1
643,500,49891,0,1,1,1,500,1
644,0,10484,0,1,1,1,0,0
645,0,15496,0,1,1,1,0,0
646,0,16714,0,1,1,1,0,0
647,0,25835,0,3,1,1,15153,15
648,0,3487,0,1,1,1,710,1
649,0,347096,0,1,1,1,12000,6
650,50,155962,1199,3,1,1,16510,16
651,500,160572,0,1,1,1,8163,18
652,400,257068,2586,1,1,1,5900,4
653,500,48410,0,4,1,1,37869,16
654,200,33269,0,1,1,1,4675,10
655,0,25685,0,1,1,1,185,3
656,0,50500,0,1,1,1,4765,14
657,0,97486,0,3,1,1,22707,15
658,1500,323459,0,1,1,1,12000,8
659,0,11821,0,1,1,1,10697,10
660,0,37039,0,4,1,1,29976,18
661,0,28306,0,1,1,1,233,3
662,7939,109532,0,5,1,1,128048,53
663,500,91974,0,3,1,1,19223,18
664,300,65823,0,4,1,1,28208,19
665,0,104824,0,3,1,1,14582,15
666,0,16061,0,1,1,1,2750,11
667,0,55237,0,2,1,1,5547,14
668,150,10491,0,1,1,1,5025,11
669,1450,192334,0,4,1,1,33950,21
670,316,45501,0,4,1,1,49656,17
671,0,18661,0,1,1,1,0,0
672,0,89668,0,4,1,1,29130,14
673,650,53327,0,1,1,1,8650,6
674,50,133143,0,4,1,1,43643,14
675,200,22268,0,3,1,1,23582,15
676,720,26556,3490,1,1,1,2845,14
677,0,9601,0,3,1,1,20467,16
678,0,280561,0,3,1,1,12154,13
679,1400,146248,0,1,1,1,2900,4
680,0,9483,0,1,1,1,1000,1
681,3600,119082,5051,1,1,1,4230,17
682,650,232171,0,3,1,1,22258,30
683,7266,369816,1745,4,1,1,46942,35
684,0,37381,0,1,1,1,6091,16
685,0,173543,0,5,1,1,92752,25
686,100,31211,0,1,1,1,280,4
687,250,47780,0,5,1,1,88773,20
688,0,79479,0,3,1,1,23167,13
689,700,81960,0,4,1,1,37072,22
690,0,20162,0,1,1,1,2750,15
691,0,105683,0,4,1,1,28386,17
